Cluster: 
[7.314653715427563, 5.80635536338301]
[10.44410785850359, 10.480796368646008]
[11.629625793596169, 23.61619344657421]
[15.908392328827961, 20.074883699328858]
[18.677010241606954, 16.11704314863211]

===============

Cluster: 
[20.073381982334574, 16.924944574678218]
[24.395601412739836, 13.085009623827297]
[31.02986226404734, 9.457751674959107]
[32.54305709428196, 15.397302542475714]
[33.3846340736882, 22.32658357024749]
[35.11663834040334, 1.295348156605343]
[42.284083610990955, 35.14352865342544]
[46.96147732522981, 25.32754479808488]
[47.69801502417203, 16.948481117728377]
[54.09433027550908, 16.885113241312386]
[59.772375770345064, 3.6557409656973396]

===============

Cluster: 
[1.250727003063461, 80.58977412970667]
[0.7200819757911914, 76.72325921742161]
[4.632313043881107, 37.64370113261618]
[3.8877893892389217, 97.24785722517746]
[5.786764643310328, 79.21049639897379]
[9.64299215139566, 32.686956006216604]
[9.497676102184295, 68.65199351465671]
[10.604509467706631, 39.59849612163846]
[12.378256700812463, 96.94751748486185]
[16.00048864485405, 42.6658159509078]
[15.536863062349509, 46.50167606958905]
[16.225141245083503, 52.36268242742939]
[18.767604345889925, 77.23518363135462]
[22.151740441848013, 86.0160389639734]
[23.18852200392735, 86.47797079999225]
[22.93076249942045, 99.28579892958233]
[25.46057768144077, 52.03592615666821]
[28.092910029454973, 40.65633405884905]
[27.28459689779522, 93.84207323039473]
[30.650951652048303, 80.96053272631411]
[29.67427985153902, 43.70977862782548]
[28.69469684426691, 58.560561366132795]
[30.67209585653807, 54.55707566555136]
[31.879579662121106, 55.505353365410016]
[35.59955415018433, 88.57995620199658]
[37.412333339270134, 54.170913346395594]
[37.47039928516689, 71.45197835353821]
[43.38602002051384, 74.348989142157]
[44.18122247286258, 84.21164981490712]

===============

Cluster: 
[46.72348744230076, 86.94976796351612]
[49.20521898556682, 53.5652126470959]
[48.80615902438428, 62.076712639269466]
[50.49868142972759, 90.79359848677103]
[51.75525632568785, 57.5759885186186]
[52.672135824600105, 56.29489582286212]
[53.7138704977063, 83.24471305410898]
[55.811733896539884, 60.10963568486309]
[57.19771144723914, 85.26691489224831]
[56.94655149492082, 76.17383425195675]
[60.4902713470698, 58.550949342429504]
[60.02846993475577, 86.51442766469515]
[64.79652642864791, 92.50016488077863]
[66.24266844800734, 77.32776970008182]
[69.1281772786314, 85.22095295439848]
[70.43201738811993, 80.02262731389833]
[71.75938016755768, 97.73925578742931]
[73.71287593784038, 65.1783693930559]
[72.7627179591771, 76.42813773569078]
[72.09153966344776, 84.62420663380149]
[74.44424217664697, 55.719095327682375]
[75.62839608173256, 96.15878926807315]
[75.73589059387457, 47.662358260294305]
[76.78331604306823, 54.21455718782238]
[77.60935387092776, 60.58860357724927]
[79.87226789593015, 86.2594477908427]
[79.87037223935582, 54.71151782920588]
[87.14015785160383, 82.4770853716388]
[87.36362255523089, 90.9365796294953]
[89.42008697760822, 65.53532949096034]
[91.99825852472306, 84.98915180558797]
[96.15114845679597, 88.16257454803176]
[99.60417643321787, 79.04400279334541]
[99.1756279399657, 52.508927128750614]

===============

Cluster: 
[51.96459558480897, 45.56909432342302]
[58.849449941683744, 30.80903615280053]
[57.87164097432314, 32.777768261512385]
[62.561191688925355, 25.134792147726287]
[62.67697214152471, 31.501577178528525]
[65.9891260636071, 14.816666990277538]
[70.29233097357825, 18.45220665975813]
[69.59224754683619, 37.85249196226653]
[71.37653734694865, 36.89701845211026]
[70.70064701158893, 2.003933877546718]
[76.16155712327301, 36.160711917493984]
[75.85301543288702, 12.939609720421927]
[79.27050974320008, 0.3071451224006977]
[78.34088693364603, 17.144393019581027]
[80.44133857641611, 31.54478195015466]
[83.82377402477704, 16.788835510847974]
[84.77013483903346, 29.095172196490477]
[87.85328090788376, 26.184806534802124]
[90.02923198018303, 29.816290679736476]
[91.64092565002856, 19.5233960169458]
[94.5688088704236, 16.044156074480405]

===============
